title,type,status,rating,lgbtq_rep,dynasty,watched_seasons,watched_episodes,is_favorite,start_date,end_date,notes
大明王朝1566,tv,watched,5,,明代,,,,2025-12-31,2025-12-31,
康熙王朝,tv,want,,,清代,,,,,,
雍正王朝,tv,want,,,清代,,,,,,
走向共和,tv,watched,4,,近代,,,,2025-12-31,2025-12-31,
觉醒年代,tv,watched,4.5,,近代,,,,2025-12-31,2025-12-31,
我们的法兰西岁月,tv,want,,,近代,,,,,,
问苍茫,tv,watched,3.5,,近代,,,,2025-12-31,2025-12-31,
大浪淘沙,tv,watched,3.5,,近代,,,,2025-12-31,2025-12-31,
长征,tv,want,,,近代,,,,,,
外交风云,tv,want,,,近代,,,,,,
海棠依旧,tv,want,,,近代,,,,,,
跨过鸭绿江,tv,want,,,近代,,,,,,
历史转折中的邓小平,tv,want,,,近代,,,,,,
光荣与梦想,tv,want,,,近代,,,,,,
